English,Español
became,convertirse
famous,famoso
enemy,enemigo
crash,chocar
chances,posibilidades
sending,envío
recognize,reconocer
healthy,saludable
boring,aburrido
feed,alimentar
engaged,comprometido
Sarah,sara
percent,por ciento
headed,con membrete
Brandon,Brandon
lines,pauta
treated,tratado
purpose,objetivo
north,norte
knife,cuchillo
rights,derechos
drag,arrastrar
san,san
fan,admirador
badly,gravemente
speed,velocidad
santa,Papá Noel
hire,contratar
curious,curioso
paint,pintar
pardon,indulto
Jackson,jackson
built,construido
behavior,comportamiento
closet,armario
candy,dulce
Helena,elena
warn,advertir
gorgeous,espléndido
post,correo
